"Name","Team","Age","playerid","mlbid","NameTeam"
"Jake McCarthy","- - -",20,"sa3007015",664983,"Jake McCarthy (- - -)"
"Ricky Alvarez","- - -",29,"sa462415",518402,"Ricky Alvarez (- - -)"
"Ryan Grotjohn","- - -",23,"sa3003964",676639,"Ryan Grotjohn (- - -)"
"Xavier Fernandez","- - -",22,"sa737922",641569,"Xavier Fernandez (- - -)"
"Kevin Santa","Mariners (A+)",23,"sa3004252",667576,"Kevin Santa (Mariners (A+))"
"Erik Ostberg","Rays (A-)",22,"sa3004505",675964,"Erik Ostberg (Rays (A-))"
"Jesus Baptista","Rockies (R)",19,"sa3003204",672416,"Jesus Baptista (Rockies (R))"
"Tyler Ramirez","Athletics (AA)",23,"sa873260",669262,"Tyler Ramirez (Athletics (AA))"
"Mark Vientos","Mets (R)",18,"sa3004720",668901,"Mark Vientos (Mets (R))"
"Gilberto Celestino","- - -",19,"sa914313",665482,"Gilberto Celestino (- - -)"
"Luke Persico","Athletics (A+)",22,"sa738678",641971,"Luke Persico (Athletics (A+))"
"Emilson Rosado","Pirates (R)",17,"sa3005543",678687,"Emilson Rosado (Pirates (R))"
"Enrique Valdez","- - -",17,"sa3005568",678823,"Enrique Valdez (- - -)"
"Yadiel Hernandez","- - -",30,"sa724030",628450,"Yadiel Hernandez (- - -)"
"Jarred Kelenic","- - -",18,"sa3007741",672284,"Jarred Kelenic (- - -)"
"Stanley Espinal","Cardinals (A-)",21,"sa872852",661412,"Stanley Espinal (Cardinals (A-))"
"Frank Schwindel","Royals (AAA)",26,"sa738182",643524,"Frank Schwindel (Royals (AAA))"
"Reed Rohlman","Royals (R)",23,"sa915632",642029,"Reed Rohlman (Royals (R))"
"Fernando Tatis Jr.","Padres (AA)",19,"sa919910",665487,"Fernando Tatis Jr. (Padres (AA))"
"Oneil Cruz","Pirates (A)",19,"sa917318",665833,"Oneil Cruz (Pirates (A))"
"Brock Lundquist","- - -",22,"sa3002834",656668,"Brock Lundquist (- - -)"
"Joantgel Segovia","- - -",21,"sa827979",650694,"Joantgel Segovia (- - -)"
"Elliot Soto","Rockies (AAA)",28,"sa390666",519303,"Elliot Soto (Rockies (AAA))"
"Aderlin Rodriguez","Orioles (AA)",26,"sa511026",573669,"Aderlin Rodriguez (Orioles (AA))"
"Alfredo Reyes","- - -",24,"sa597093",602112,"Alfredo Reyes (- - -)"
"Delvin Zinn","Cubs (A)",21,"sa875884",665091,"Delvin Zinn (Cubs (A))"
"Bo Bichette","Blue Jays (AA)",20,"sa917949",666182,"Bo Bichette (Blue Jays (AA))"
"Alejandro Salazar","- - -",21,"sa827937",650362,"Alejandro Salazar (- - -)"
"Yusniel Diaz","- - -",21,"sa912848",666783,"Yusniel Diaz (- - -)"
"Mark Karaviotis","Diamondbacks (A+)",22,"sa738977",641740,"Mark Karaviotis (Diamondbacks (A+))"
"Elier Hernandez","- - -",23,"sa659238",609274,"Elier Hernandez (- - -)"
"Chavez Young","Blue Jays (A)",20,"sa918963",669945,"Chavez Young (Blue Jays (A))"
"Angel Rojas","Yankees (R)",17,"sa3005578",678876,"Angel Rojas (Yankees (R))"
"Alfonso Rivas","Athletics (A-)",21,"sa3007014",663845,"Alfonso Rivas (Athletics (A-))"
"Daniel Jipping","Rockies (A-)",22,"sa3002868",674971,"Daniel Jipping (Rockies (A-))"
"Dario Pizzano","Mariners (AA)",27,"sa658253",623188,"Dario Pizzano (Mariners (AA))"
"Nick Roscetti","- - -",24,"sa918590",670465,"Nick Roscetti (- - -)"
"Leugim Castillo","Brewers (R)",18,"sa3005128",676108,"Leugim Castillo (Brewers (R))"
"William Contreras","- - -",20,"sa872847",661388,"William Contreras (- - -)"
"Cody Thomas","Dodgers (A+)",23,"sa738459",642137,"Cody Thomas (Dodgers (A+))"
"Peter Alonso","- - -",23,"sa873981",624413,"Peter Alonso (- - -)"
"Charlie McConnell","Mariners (A-)",22,"sa3006716",667279,"Charlie McConnell (Mariners (A-))"
"Drew Avans","- - -",22,"sa3006937",682183,"Drew Avans (- - -)"
"TJ Friedl","- - -",22,"sa943754",670770,"TJ Friedl (- - -)"
"Fidel Castro","- - -",19,"sa3003175",669858,"Fidel Castro (- - -)"
"Braden Bishop","Mariners (AA)",24,"sa659045",623323,"Braden Bishop (Mariners (AA))"
"Justin Dean","- - -",21,"sa3007070",681909,"Justin Dean (- - -)"
"Ronaldo Hernandez","Rays (A)",20,"sa881850",660613,"Ronaldo Hernandez (Rays (A))"
"Mickey McDonald","Athletics (A)",23,"sa3004173",676782,"Mickey McDonald (Athletics (A))"
"Warling Vicente","- - -",19,"sa3003277",672646,"Warling Vicente (- - -)"
"Devin Davis","Rays (A)",21,"sa875805",663343,"Devin Davis (Rays (A))"
"Ivan Araujo","- - -",34,"sa509253",485034,"Ivan Araujo (- - -)"
"Jordan Gore","- - -",23,"sa3004127",641625,"Jordan Gore (- - -)"
"Jake Hager","- - -",25,"sa600840",606993,"Jake Hager (- - -)"
"Willie MacIver","Rockies (A-)",21,"sa3007828",680862,"Willie MacIver (Rockies (A-))"
"Nolan Jones","- - -",20,"sa917941",666134,"Nolan Jones (- - -)"
"Alex De Goti","- - -",23,"sa919320",621008,"Alex De Goti (- - -)"
"Estevan Florial","- - -",20,"sa874464",664314,"Estevan Florial (- - -)"
"Andy Ibanez","Rangers (AAA)",25,"sa914201",628451,"Andy Ibanez (Rangers (AAA))"
"Seth Brown","Athletics (AA)",25,"sa875797",664913,"Seth Brown (Athletics (AA))"
"Diomedes Del Rio","- - -",20,"sa921439",670903,"Diomedes Del Rio (- - -)"
"Jacob Rhinesmith","Nationals (A-)",22,"sa3006729",681927,"Jacob Rhinesmith (Nationals (A-))"
"Lean Marrero","Twins (R)",20,"sa875650",664765,"Lean Marrero (Twins (R))"
"Nick Solak","Rays (AA)",23,"sa874054",669256,"Nick Solak (Rays (AA))"
"Troy Montgomery","- - -",23,"sa918108",670047,"Troy Montgomery (- - -)"
"Jesus Sanchez","- - -",20,"sa872787",466454,"Jesus Sanchez (- - -)"
"Alberto Figuereo","Rays (R)",18,"sa3005583",678902,"Alberto Figuereo (Rays (R))"
"Wagner Lagrange","Mets (A-)",22,"sa875875",664279,"Wagner Lagrange (Mets (A-))"
"Zach McKinstry","- - -",23,"sa918920",656716,"Zach McKinstry (- - -)"
"Luis Valenzuela","Braves (AA)",24,"sa658081",623610,"Luis Valenzuela (Braves (AA))"
"Micker Adolfo","White Sox (A+)",21,"sa830303",650520,"Micker Adolfo (White Sox (A+))"
"Peter Mooney","- - -",27,"sa503239",573041,"Peter Mooney (- - -)"
"Joey Curletta","Mariners (AA)",24,"sa658025",621575,"Joey Curletta (Mariners (AA))"
"David Villar","- - -",21,"sa3007063",681584,"David Villar (- - -)"
"Kean Wong","Rays (AAA)",23,"sa737841",642221,"Kean Wong (Rays (AAA))"
"Evan Mendoza","- - -",22,"sa3002836",656734,"Evan Mendoza (- - -)"
"Frank Veliz","Tigers (R)",18,"sa3003257",672602,"Frank Veliz (Tigers (R))"
"Grenny Cumana","Phillies (A+)",22,"sa735846",640488,"Grenny Cumana (Phillies (A+))"
"Christian Donahue","- - -",23,"sa3005401",656378,"Christian Donahue (- - -)"
"Niko Hulsizer","Dodgers (R)",21,"sa3007053",680881,"Niko Hulsizer (Dodgers (R))"
"Juan Apodaca","- - -",31,"sa286639",465698,"Juan Apodaca (- - -)"
"Yeison Coca","Brewers (R)",19,"sa917075",665883,"Yeison Coca (Brewers (R))"
"Chase Chambers","Mets (A-)",22,"sa3006921",681907,"Chase Chambers (Mets (A-))"
"Zach Green","- - -",24,"sa657973",608339,"Zach Green (- - -)"
"Aldenis Sanchez","Rays (R)",19,"sa3003222",672479,"Aldenis Sanchez (Rays (R))"
"Brett Langhorne","Braves (R)",22,"sa3007064",681827,"Brett Langhorne (Braves (R))"
"Jose Godoy","- - -",23,"sa657267",608422,"Jose Godoy (- - -)"
"Taylor Jones","- - -",24,"sa876202",622100,"Taylor Jones (- - -)"
"Trenton Brooks","Indians (A+)",22,"sa873268",670092,"Trenton Brooks (Indians (A+))"
"Andres Gimenez","- - -",19,"sa917114",665926,"Andres Gimenez (- - -)"
"Rudy Flores","Diamondbacks (AA)",27,"sa621607",571669,"Rudy Flores (Diamondbacks (AA))"
"Jesus Lujano","Brewers (R)",19,"sa917197",665708,"Jesus Lujano (Brewers (R))"
"Angel Aponte","Rangers (R)",18,"sa3003319",672749,"Angel Aponte (Rangers (R))"
"D.J. Burt","Royals (A+)",22,"sa828876",656274,"D.J. Burt (Royals (A+))"
"Nick Pratto","Royals (A)",19,"sa3004138",668472,"Nick Pratto (Royals (A))"
"Irving Lopez","- - -",23,"sa3002878",676761,"Irving Lopez (- - -)"
"Moises Gomez","Rays (A)",19,"sa875163",656001,"Moises Gomez (Rays (A))"
"Johan Sala","- - -",20,"sa872543",660633,"Johan Sala (- - -)"
"Greg Cullen","Braves (R)",21,"sa3007069",681888,"Greg Cullen (Braves (R))"
"Shervyen Newton","Mets (R)",19,"sa917119",665989,"Shervyen Newton (Mets (R))"
"Logan Taylor","- - -",24,"sa857838",664162,"Logan Taylor (- - -)"
"Jonah Bride","- - -",22,"sa3007516",681146,"Jonah Bride (- - -)"
"Matt Thaiss","- - -",23,"sa738522",642136,"Matt Thaiss (- - -)"
"Carter Kieboom","- - -",20,"sa917937",666198,"Carter Kieboom (- - -)"
"Calvin Mitchell","Pirates (A)",19,"sa3004258",668751,"Calvin Mitchell (Pirates (A))"
"Tanner Kirwer","Blue Jays (A-)",22,"sa3002831",647255,"Tanner Kirwer (Blue Jays (A-))"
"Randy Ventura","- - -",20,"sa872499",661555,"Randy Ventura (- - -)"
"Jeremy Vasquez","- - -",21,"sa915673",657075,"Jeremy Vasquez (- - -)"
"Gabriel Maciel","- - -",19,"sa919532",670622,"Gabriel Maciel (- - -)"
"Brian O'Grady","- - -",26,"sa829143",657434,"Brian O'Grady (- - -)"
"Brandon Bednar","- - -",26,"sa737887",641351,"Brandon Bednar (- - -)"
"Samir Duenez","- - -",22,"sa739574",642279,"Samir Duenez (- - -)"
"Maicol Sosa","Marlins (R)",19,"sa3003403",673378,"Maicol Sosa (Marlins (R))"
"Cristian Pache","- - -",19,"sa916722",665506,"Cristian Pache (- - -)"
"Nate Mondou","- - -",23,"sa873282",670148,"Nate Mondou (- - -)"
"Alexfri Planez","Indians (R)",16,"sa3005515",678413,"Alexfri Planez (Indians (R))"
"Jose Fermin","Indians (A-)",19,"sa917339",665877,"Jose Fermin (Indians (A-))"
"Joel Booker","- - -",24,"sa918497",664689,"Joel Booker (- - -)"
"David MacKinnon","- - -",23,"sa873706",676950,"David MacKinnon (- - -)"
"Austin Nola","Marlins (AAA)",28,"sa577789",543592,"Austin Nola (Marlins (AAA))"
"Stephen Alemais","Pirates (AA)",23,"sa874070",641301,"Stephen Alemais (Pirates (AA))"
"Alan Trejo","Rockies (A+)",22,"sa3002726",676701,"Alan Trejo (Rockies (A+))"
"Oscar Mercado","- - -",23,"sa737612",640458,"Oscar Mercado (- - -)"
"Roberto Baldoquin","- - -",24,"sa857538",660168,"Roberto Baldoquin (- - -)"
"Fabian Andrade","Red Sox (R)",19,"sa917083",665821,"Fabian Andrade (Red Sox (R))"
"Andy Sugilio","Reds (A)",21,"sa828414",650443,"Andy Sugilio (Reds (A))"
"Carlos Herrera","Rockies (A+)",21,"sa830140",650508,"Carlos Herrera (Rockies (A+))"
"Nathan Lukes","Rays (AA)",23,"sa875215",664770,"Nathan Lukes (Rays (AA))"
"Cristian Perez","Royals (A)",19,"sa917025",666524,"Cristian Perez (Royals (A))"
"Jacob Wilson","- - -",27,"sa658158",607111,"Jacob Wilson (- - -)"
"Mitch Roman","- - -",23,"sa918259",670144,"Mitch Roman (- - -)"
"Tyrone Taylor","Brewers (AAA)",24,"sa657979",621438,"Tyrone Taylor (Brewers (AAA))"
"Jorma Rodriguez","- - -",22,"sa736694",642688,"Jorma Rodriguez (- - -)"
"Jacob Meyers","- - -",22,"sa3004621",676694,"Jacob Meyers (- - -)"
"Andrew Calica","Indians (AA)",24,"sa658329",621447,"Andrew Calica (Indians (AA))"
"Cody Wilson","Nationals (A-)",21,"sa3006723",680963,"Cody Wilson (Nationals (A-))"
"J.R. Davis","Cardinals (A)",23,"sa918387",664751,"J.R. Davis (Cardinals (A))"
"Isaac Paredes","- - -",19,"sa920275",670623,"Isaac Paredes (- - -)"
"Omar Estevez","Dodgers (A+)",20,"sa914242",666784,"Omar Estevez (Dodgers (A+))"
"Casey Golden","Rockies (A)",23,"sa873997",668680,"Casey Golden (Rockies (A))"
"Michael Beltre","- - -",22,"sa736945",642461,"Michael Beltre (- - -)"
"Zach Jarrett","Orioles (A)",23,"sa3002883",676913,"Zach Jarrett (Orioles (A))"
"Lazaro Armenteros","Athletics (A)",19,"sa969091",670860,"Lazaro Armenteros (Athletics (A))"
"Ben Pelletier","Phillies (A-)",19,"sa876134",647311,"Ben Pelletier (Phillies (A-))"
"Jared Walsh","- - -",24,"sa827173",665120,"Jared Walsh (- - -)"
"D.J. Peterson","Reds (AAA)",26,"sa549926",592637,"D.J. Peterson (Reds (AAA))"
"Zacrey Law","- - -",21,"sa829413",656643,"Zacrey Law (- - -)"
"Wander Franco","Giants (A+)",23,"sa657522",622568,"Wander Franco (Giants (A+))"
"Taylor Trammell","Reds (A+)",20,"sa917943",666211,"Taylor Trammell (Reds (A+))"
"Victor Acosta","- - -",22,"sa736917",680845,"Victor Acosta (- - -)"
"Jorge Hurtado","Nationals (R)",17,"sa3005749",678646,"Jorge Hurtado (Nationals (R))"
"Tim Lopes","Blue Jays (AAA)",24,"sa658008",621005,"Tim Lopes (Blue Jays (AAA))"
"Edward Olivares","Padres (A+)",22,"sa832015",658668,"Edward Olivares (Padres (A+))"
"J.J. Matijevic","- - -",22,"sa829488",656695,"J.J. Matijevic (- - -)"
"Carmen Benedetti","Astros (AA)",23,"sa918269",669623,"Carmen Benedetti (Astros (AA))"
"Peter Maris","- - -",24,"sa877608",665285,"Peter Maris (- - -)"
"Edison Lantigua","Pirates (A-)",21,"sa828163",650819,"Edison Lantigua (Pirates (A-))"
"Garabez Rosa","Orioles (AAA)",28,"sa455978",516664,"Garabez Rosa (Orioles (AAA))"
"Webster Rivas","Padres (AA)",27,"sa547912",593590,"Webster Rivas (Padres (AA))"
"Eduard Pinto","- - -",23,"sa579381",599813,"Eduard Pinto (- - -)"
"Anderson Feliz","- - -",26,"sa505526",570716,"Anderson Feliz (- - -)"
"Guillermo Quintana","- - -",17,"sa3005916",678733,"Guillermo Quintana (- - -)"
"Drew Dosch","Orioles (AAA)",26,"sa709292",641529,"Drew Dosch (Orioles (AAA))"
"Jalen Miller","Giants (A+)",21,"sa875016",663692,"Jalen Miller (Giants (A+))"
"Ross Adolph","Mets (A-)",21,"sa3006666",680244,"Ross Adolph (Mets (A-))"
"Tim Millard","- - -",23,"sa3006687",682209,"Tim Millard (- - -)"
"Alex Robles","- - -",22,"sa874040",675970,"Alex Robles (- - -)"
"Osvaldo Duarte","Astros (A+)",22,"sa828299",650560,"Osvaldo Duarte (Astros (A+))"
"Tyler Krieger","Indians (AA)",24,"sa658994",623513,"Tyler Krieger (Indians (AA))"
"Yeltsin Gudino","- - -",21,"sa830208",650988,"Yeltsin Gudino (- - -)"
"Mitch Longo","Indians (A+)",23,"sa874178",669675,"Mitch Longo (Indians (A+))"
"Kelvin Gutierrez","- - -",23,"sa736855",642721,"Kelvin Gutierrez (- - -)"
"Yan Sanchez","Diamondbacks (A)",21,"sa828285",650348,"Yan Sanchez (Diamondbacks (A))"
"Ervis Marchan","Cubs (R)",18,"sa3005127",674382,"Ervis Marchan (Cubs (R))"
"Jared Oliva","Pirates (A+)",22,"sa915844",666931,"Jared Oliva (Pirates (A+))"
"Rylan Bannon","- - -",22,"sa3004162",676625,"Rylan Bannon (- - -)"
"Jose Antequera","- - -",22,"sa826778",655672,"Jose Antequera (- - -)"
"Jevi Hernandez","Phillies (R)",19,"sa3003415",674166,"Jevi Hernandez (Phillies (R))"
"Willy Yahn","Orioles (A-)",22,"sa915589",676278,"Willy Yahn (Orioles (A-))"
"Connor Marabell","- - -",24,"sa858026",664088,"Connor Marabell (- - -)"
"Luke Raley","- - -",23,"sa918048",670042,"Luke Raley (- - -)"
"Francisco Diaz","- - -",28,"sa505229",514916,"Francisco Diaz (- - -)"
"Cole Daily","Nationals (A-)",21,"sa3006713",663725,"Cole Daily (Nationals (A-))"
"Zach Davis","- - -",24,"sa918888",667493,"Zach Davis (- - -)"
"Darlin Moquete","Cardinals (R)",18,"sa3005617",680642,"Darlin Moquete (Cardinals (R))"
"Brandon Leyton","Diamondbacks (R)",19,"sa917309",667351,"Brandon Leyton (Diamondbacks (R))"
"Franklin Torres","- - -",21,"sa830300",650660,"Franklin Torres (- - -)"
"Emmanuel Rivera","- - -",22,"sa875798",656896,"Emmanuel Rivera (- - -)"
"Miguel Jerez","Indians (R)",20,"sa917754",669791,"Miguel Jerez (Indians (R))"
"Nick Heath","- - -",24,"sa918355",670084,"Nick Heath (- - -)"
"Max Burt","Yankees (R)",21,"sa3007631",661733,"Max Burt (Yankees (R))"
"Trace Loehr","- - -",23,"sa829044",656656,"Trace Loehr (- - -)"
"Samil Polanco","White Sox (R)",18,"sa3006676",681177,"Samil Polanco (White Sox (R))"
"Anthony Dirocie","- - -",21,"sa827959",650702,"Anthony Dirocie (- - -)"
"Michael Donadio","- - -",23,"sa857712",668851,"Michael Donadio (- - -)"
"T.J. Nichting","- - -",23,"sa873681",676635,"T.J. Nichting (- - -)"
"Roberto Lopez","- - -",32,"sa454598",543464,"Roberto Lopez (- - -)"
"Ryan Boldt","Rays (AA)",23,"sa738262",624416,"Ryan Boldt (Rays (AA))"
"Jhonny Bethencourt","Cubs (A)",21,"sa871485",661437,"Jhonny Bethencourt (Cubs (A))"
"Samuel Jorge","Giants (R)",18,"sa3003321",672752,"Samuel Jorge (Giants (R))"
"Chris Roller","- - -",21,"sa3004068",676896,"Chris Roller (- - -)"
"Randy Arozarena","- - -",23,"sa914549",668227,"Randy Arozarena (- - -)"
"Cristian Santana","Dodgers (A+)",21,"sa829387",655996,"Cristian Santana (Dodgers (A+))"
"Ryan Dobson","- - -",23,"sa3004178",676885,"Ryan Dobson (- - -)"
"Eric Filia","Mariners (AA)",25,"sa827359",596107,"Eric Filia (Mariners (AA))"
"Dan Gamache","Nationals (AA)",27,"sa597966",607240,"Dan Gamache (Nationals (AA))"
"Ryan Fitzgerald","Red Sox (A)",24,"sa3006218",680837,"Ryan Fitzgerald (Red Sox (A))"
"Connor Kopach","Mariners (A-)",23,"sa3006791",682007,"Connor Kopach (Mariners (A-))"
"J.P. Sportman","- - -",26,"sa829450",656996,"J.P. Sportman (- - -)"
"Ryan Vilade","Rockies (A)",19,"sa3004256",668723,"Ryan Vilade (Rockies (A))"
"Nick Zammarelli III","Mariners (A+)",23,"sa738401",642235,"Nick Zammarelli III (Mariners (A+))"
"Jason Martin","- - -",22,"sa737834",641829,"Jason Martin (- - -)"
"Charles Leblanc","Rangers (A+)",22,"sa738521",641779,"Charles Leblanc (Rangers (A+))"
"Jaylin Davis","- - -",23,"sa875397",664041,"Jaylin Davis (- - -)"
"Nate Easley","Padres (A+)",22,"sa919164",670410,"Nate Easley (Padres (A+))"
"Chas McCormick","- - -",23,"sa3004174",676801,"Chas McCormick (- - -)"
"Ti'Quan Forbes","White Sox (A+)",21,"sa828696",656431,"Ti'Quan Forbes (White Sox (A+))"
"Offerman Collado","Royals (R)",22,"sa745014",642728,"Offerman Collado (Royals (R))"
"Tim Tebow","Mets (AA)",30,"sa323152",628297,"Tim Tebow (Mets (AA))"
"Deivi Grullon","Phillies (AA)",22,"sa739661",620453,"Deivi Grullon (Phillies (AA))"
"Brayan Morales","Dodgers (A)",22,"sa918374",657243,"Brayan Morales (Dodgers (A))"
"Chad Sedio","- - -",24,"sa918611",670466,"Chad Sedio (- - -)"
"Donnie Walton","- - -",24,"sa659038",622268,"Donnie Walton (- - -)"
"Tanner Dodson","Rays (A-)",21,"sa3007008",663541,"Tanner Dodson (Rays (A-))"
"Todd Hankins","- - -",27,"sa598325",607399,"Todd Hankins (- - -)"
"Telmito Agustin","- - -",21,"sa828321",648739,"Telmito Agustin (- - -)"
"Luke Tendler","Red Sox (AA)",26,"sa829644",657035,"Luke Tendler (Red Sox (AA))"
"Branden Becker","Orioles (A)",21,"sa875755",663844,"Branden Becker (Orioles (A))"
"Steven Linkous","- - -",23,"sa918492",670374,"Steven Linkous (- - -)"
"Jean Carlos Encarnacion","- - -",20,"sa921562",669792,"Jean Carlos Encarnacion (- - -)"
"Ryan Howard","Giants (AA)",23,"sa857225",664031,"Ryan Howard (Giants (AA))"
"Jose Devers","- - -",18,"sa3003295",672701,"Jose Devers (- - -)"
"Luis Montano","Cardinals (R)",18,"sa3003297",672707,"Luis Montano (Cardinals (R))"
"Mason Robbins","- - -",25,"sa599191",596088,"Mason Robbins (- - -)"
"Kyle Overstreet","Padres (AA)",24,"sa827140",664963,"Kyle Overstreet (Padres (AA))"
"Dillon Paulson","Dodgers (R)",21,"sa3007007",663516,"Dillon Paulson (Dodgers (R))"
"Vladimir Dilone","Rockies (R)",17,"sa3006208",679334,"Vladimir Dilone (Rockies (R))"
"Jay Schuyler","Reds (R)",21,"sa3006662",674033,"Jay Schuyler (Reds (R))"
"Dimas Ojeda","Mariners (A)",22,"sa918369",670089,"Dimas Ojeda (Mariners (A))"
"Jhonny Pereda","Cubs (A+)",22,"sa735866",640902,"Jhonny Pereda (Cubs (A+))"
"Sergio Alcantara","Tigers (AA)",21,"sa739641",642727,"Sergio Alcantara (Tigers (AA))"
"Matthew Batten","- - -",23,"sa3004179",676946,"Matthew Batten (- - -)"
"Robert Neustrom","Orioles (A-)",21,"sa3006667",680438,"Robert Neustrom (Orioles (A-))"
"Walking Cabrera","Rockies (R)",17,"sa3005240",676004,"Walking Cabrera (Rockies (R))"
"Bruce Yari","Reds (A+)",23,"sa918522",670435,"Bruce Yari (Reds (A+))"
"Allan Cerda","Reds (R)",18,"sa3005504",678323,"Allan Cerda (Reds (R))"
"Damek Tomscha","- - -",26,"sa550391",595438,"Damek Tomscha (- - -)"
"Drew Maggi","Indians (AAA)",29,"sa549144",543482,"Drew Maggi (Indians (AAA))"
"Jason Lopez","- - -",20,"sa872552",660686,"Jason Lopez (- - -)"
"Ryan Dorow","Rangers (A)",22,"sa3004295",676900,"Ryan Dorow (Rangers (A))"
"Jose Miguel Medina","Mets (A-)",21,"sa828865",656017,"Jose Miguel Medina (Mets (A-))"
"Clayton Daniel","- - -",23,"sa3007646",681083,"Clayton Daniel (- - -)"
"Buddy Reed","- - -",23,"sa738683",642002,"Buddy Reed (- - -)"
"Manny Rodriguez","- - -",35,"sa509273",681668,"Manny Rodriguez (- - -)"
"BJ Boyd","Athletics (AAA)",24,"sa657987",622196,"BJ Boyd (Athletics (AAA))"
"Luigi Rodriguez","Giants (AA)",25,"sa547914",593444,"Luigi Rodriguez (Giants (AA))"
"Ceddanne Rafaela","Red Sox (R)",17,"sa3005581",678882,"Ceddanne Rafaela (Red Sox (R))"
"Malik Collymore","- - -",23,"sa737908",641471,"Malik Collymore (- - -)"
"Angelo Mora","- - -",25,"sa597177",606196,"Angelo Mora (- - -)"
"Jeisson Rosario","Padres (A)",18,"sa3004146",671271,"Jeisson Rosario (Padres (A))"
"Keegan McGovern","- - -",22,"sa3006710",656708,"Keegan McGovern (- - -)"
"P.J. Higgins","- - -",25,"sa875573",664731,"P.J. Higgins (- - -)"
"Blake Hunt","Padres (A-)",19,"sa3004153",675448,"Blake Hunt (Padres (A-))"
"Daniel Fajardo","Orioles (A+)",23,"sa657408",622463,"Daniel Fajardo (Orioles (A+))"
"Jantzen Witte","- - -",28,"sa738324",642220,"Jantzen Witte (- - -)"
"Zack Zehner","- - -",25,"sa829122",657446,"Zack Zehner (- - -)"
"Brett Netzer","Red Sox (A+)",22,"sa3004804",676071,"Brett Netzer (Red Sox (A+))"
"Ramon Beltre","- - -",21,"sa828230",650521,"Ramon Beltre (- - -)"
"Forrestt Allday","- - -",27,"sa737849",641303,"Forrestt Allday (- - -)"
"Jack Mayfield","Astros (AAA)",27,"sa739543",608686,"Jack Mayfield (Astros (AAA))"
"Mickey Moniak","Phillies (A+)",20,"sa917920",666160,"Mickey Moniak (Phillies (A+))"
"Jose Amador","- - -",38,"sa509117",477369,"Jose Amador (- - -)"
"Corey Julks","- - -",22,"sa913274",667452,"Corey Julks (- - -)"
"Nicolas Febres","Royals (R)",19,"sa3003252",672587,"Nicolas Febres (Royals (R))"
"Alejandro Ortiz","- - -",28,"sa508095",554428,"Alejandro Ortiz (- - -)"
"Andry Arias","Nationals (R)",18,"sa3005735",678357,"Andry Arias (Nationals (R))"
"Eric Wood","- - -",25,"sa602394",607780,"Eric Wood (- - -)"
"Zeek White","- - -",21,"sa874992",663672,"Zeek White (- - -)"
"Juan Martinez","- - -",19,"sa917056",622576,"Juan Martinez (- - -)"
"Luis Toribio","Giants (R)",17,"sa3005541",678681,"Luis Toribio (Giants (R))"
"Michael Paez","Mets (A+)",23,"sa874101",669686,"Michael Paez (Mets (A+))"
"Yordanys Linares","- - -",29,"sa3002576",650207,"Yordanys Linares (- - -)"
"Kevin Markham","- - -",24,"sa3004374",663403,"Kevin Markham (- - -)"
"Wilson Valdez","Phillies (R)",18,"sa3005792",680662,"Wilson Valdez (Phillies (R))"
"Luis Marte","- - -",24,"sa597106",606336,"Luis Marte (- - -)"
"Hamlet Marte","- - -",24,"sa597218",606189,"Hamlet Marte (- - -)"
"Connor Wong","Dodgers (A+)",22,"sa873978",657136,"Connor Wong (Dodgers (A+))"
"Neyfi Marinez","Royals (R)",17,"sa3005931",678881,"Neyfi Marinez (Royals (R))"
"Jacson McGowan","Rays (A-)",21,"sa3006677",681531,"Jacson McGowan (Rays (A-))"
"Jesus Navarro","- - -",20,"sa872468",517628,"Jesus Navarro (- - -)"
"Luis Robert","- - -",20,"sa3003396",673357,"Luis Robert (- - -)"
"Roberto Ramos","- - -",23,"sa829199",657733,"Roberto Ramos (- - -)"
"Domingo Leyba","Diamondbacks (AA)",22,"sa736654",642736,"Domingo Leyba (Diamondbacks (AA))"
"Juan Yepez","- - -",20,"sa877505",660766,"Juan Yepez (- - -)"
"Ryan Gridley","Athletics (A)",23,"sa915617",667667,"Ryan Gridley (Athletics (A))"
"Daniel Johnson","- - -",22,"sa918018",669288,"Daniel Johnson (- - -)"
"Lucius Fox","- - -",20,"sa914200",665650,"Lucius Fox (- - -)"
"Robbie Glendinning","- - -",22,"sa3004978",674671,"Robbie Glendinning (- - -)"
"Brian Serven","Rockies (A+)",23,"sa857231",661531,"Brian Serven (Rockies (A+))"
"Joel Diaz","Rockies (A+)",22,"sa737204",642315,"Joel Diaz (Rockies (A+))"
"Keibert Ruiz","Dodgers (AA)",19,"sa872528",660688,"Keibert Ruiz (Dodgers (AA))"
"Hunter Strong","- - -",21,"sa3006925",682041,"Hunter Strong (- - -)"
"Dominic Ficociello","Tigers (AA)",26,"sa549668",592301,"Dominic Ficociello (Tigers (AA))"
"Jose Medina","- - -",23,"sa828205",642375,"Jose Medina (- - -)"
"Hendrik Clementina","Reds (A)",21,"sa828422",649955,"Hendrik Clementina (Reds (A))"
"Brendan Rodgers","- - -",21,"sa874238",663898,"Brendan Rodgers (- - -)"
"Zach Rutherford","Rays (A)",22,"sa915797",669342,"Zach Rutherford (Rays (A))"
"Omar Meregildo","Nationals (A)",20,"sa872765",660530,"Omar Meregildo (Nationals (A))"
"Randolph Gassaway","- - -",23,"sa738195",641599,"Randolph Gassaway (- - -)"
